id,name,link,image
71,Charminar Biryani House,https://www.zomato.com/bangalore/charminar-biryani-house-1-btm-bangalore/order,
72,California Burrito,https://www.zomato.com/bangalore/california-burrito-indiranagar/order,
73,Punjabi Nawabi,https://www.zomato.com/bangalore/punjabi-nawabi-koramangala-7th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/8/18489118/a39228f63559b763c6928e91fbdf4942_o2_featured_v2.jpg
74,Empire Juices And Desserts,https://www.zomato.com/bangalore/empire-juices-and-desserts-vasanth-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/18796821/a4695c4429021ffaffcd06a82d546778_o2_featured_v2.jpg
75,Biryani Pot,https://www.zomato.com/bangalore/biryani-pot-btm/order,https://b.zmtcdn.com/data/pictures/3/56573/e358d781fdfb69a867014e43fd398990_o2_featured_v2.jpg
76,Chickpet Donne Biryani House,https://www.zomato.com/bangalore/chickpet-donne-biryani-house-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/18414356/522c841b508bc12db4802df4fdd88b18_o2_featured_v2.jpg
77,Kabab Biryani Corner,https://www.zomato.com/bangalore/kabab-biryani-corner-richmond-road-bangalore/order,https://b.zmtcdn.com/data/pictures/0/19360780/1c03656d2a074dcc30236e09461a8772_o2_featured_v2.jpg
78,Aromas Of Biryani,https://www.zomato.com/bangalore/aromas-of-biryani-1-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/8/18585428/13bb7ab3d052256f7d4b17cbb404dd5e_o2_featured_v2.jpg
79,Shanmukha,https://www.zomato.com/bangalore/shanmukha-1-jp-nagar-bangalore/order,
80,Umpire Chicken County,https://www.zomato.com/bangalore/umpire-chicken-county-richmond-road-bangalore/order,
81,RollsKing,https://www.zomato.com/bangalore/rollsking-btm-bangalore/order,
82,Sweet Truth - Cake and Desserts,https://www.zomato.com/bangalore/sweet-truth-cake-and-desserts-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/18551643/8ce8cf60f74ee6f58fe9f345eb97d671_o2_featured_v2.jpg
83,Great Indian Khichdi by EatFit,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-cunningham-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/19413979/0bfebefe6eef023c5c0c1f49dd0e97e2_o2_featured_v2.jpg
84,Nandhini Deluxe,https://www.zomato.com/bangalore/nandhini-deluxe-majestic-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/50714/527f3baa5ed9aa3a739c36f9fc410404_o2_featured_v2.jpg
85,Biggies Burger,https://www.zomato.com/bangalore/biggies-burger-church-street-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/58829/84678be832c8681b3c4ac007cd32fdbe_o2_featured_v2.jpg
86,Chai Point,https://www.zomato.com/bangalore/chai-point-koramangala-5th-block/order,https://b.zmtcdn.com/data/pictures/chains/0/52860/6750c2fe1f25a444991eee4d7afd5dd9_o2_featured_v2.jpg
87,Pathaan Sir,https://www.zomato.com/bangalore/pathaan-sir-frazer-town/order,https://b.zmtcdn.com/data/pictures/chains/7/58607/d2f078bcc9df1aaeeb85b655a58f7046_o2_featured_v2.jpg
88,Paradise Biryani - A Legend Since 1953,https://www.zomato.com/bangalore/paradise-biryani-a-legend-since-1953-domlur-bangalore/order,
89,Savoury Restaurant,https://www.zomato.com/bangalore/savoury-restaurant-1-frazer-town/order,
90,Ambur Star Briyani Since 1890,https://www.zomato.com/bangalore/ambur-star-briyani-since-1890-indiranagar-bangalore/order,
91,Olio - The Wood Fired Pizzeria,https://www.zomato.com/bangalore/olio-the-wood-fired-pizzeria-vasanth-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/5/20243765/ee5b7ea6aaf1e7488e975e16612f4126_o2_featured_v2.jpg
92,Dindigul Thalappakatti,https://www.zomato.com/bangalore/dindigul-thalappakatti-indiranagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/18817272/5d4040eeaef9f042ec8ec845f9b1911f_o2_featured_v2.jpg
93,GOPIZZA,https://www.zomato.com/bangalore/gopizza-jayanagar-bangalore/order,https://b.zmtcdn.com/data/pictures/9/20307319/7d512a3e59b4aea9727ef990d16353e2_featured_v2.jpg
94,The Good Bowl,https://www.zomato.com/bangalore/the-good-bowl-shanti-nagar-bangalore/order,
95,Samosa Party,https://www.zomato.com/bangalore/samosa-party-koramangala-5th-block-bangalore/order,
96,Smoor,https://www.zomato.com/bangalore/smoor-lavelle-road-bangalore/order,
97,Biryani Blues,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/19969439/cf3d88dd0f49bd1251565de9c1de2ca7_o2_featured_v2.jpg
98,TrueCakes - Fresh | Eggless | Cakes,https://www.zomato.com/bangalore/truecakes-fresh-eggless-cakes-indiranagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/19374760/9433df2472f85483c312008909b2acba_o2_featured_v2.jpg
99,Swiss Cream,https://www.zomato.com/bangalore/swiss-cream-shanti-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/18648062/f52104efd5de0895d608b2f85779919a_o2_featured_v2.jpg
100,Agrawal's Kitchen,https://www.zomato.com/bangalore/agrawals-kitchen-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/0/20481650/dba3bfa173ec4b566fbc248bc3c406c3_o2_featured_v2.jpg
101,The Dessert Heaven - Pure Veg,https://www.zomato.com/bangalore/the-dessert-heaven-pure-veg-hosur-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/5/20005245/3b0a9026db528af0f6ef94d7db964d7b_o2_featured_v2.jpg
102,Cream Stone Ice Cream,https://www.zomato.com/bangalore/cream-stone-ice-cream-frazer-town-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/59536/478ebd9d415f56fbe5e7490a1ee67060_o2_featured_v2.jpg
103,The Dessert Zone,https://www.zomato.com/bangalore/the-dessert-zone-vasanth-nagar-bangalore/order,
104,Rajasthani Taj Restaurant,https://www.zomato.com/bangalore/rajasthani-taj-restaurant-btm-bangalore/order,
105,Fresh Bites,https://www.zomato.com/bangalore/fresh-bites-indiranagar-bangalore/order,
106,Art of Delight,https://www.zomato.com/bangalore/art-of-delight-residency-road/order,https://b.zmtcdn.com/data/pictures/chains/0/57750/147c867d0e9b1d02295ab131ad683d54_o2_featured_v2.jpg
107,Kaati Zone Rolls and Wraps,https://www.zomato.com/bangalore/kaati-zone-rolls-and-wraps-vasanth-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/0/19263420/a23344723df76c66690c127a969c2ba7_o2_featured_v2.jpg
108,Aaha Nati Style,https://www.zomato.com/bangalore/aaha-nati-style-vijay-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/2/20610802/baddd1d8ca3b839223be038a7a0e8f69_o2_featured_v2.jpg
109,Punjabi Unplugged,https://www.zomato.com/bangalore/punjabi-unplugged-koramangala-7th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/9/18926789/82348442ca59d2d00fdac02e45821a32_o2_featured_v2.jpg
110,Taco Bell,https://www.zomato.com/bangalore/taco-bell-1-malleshwaram-bangalore/order,https://b.zmtcdn.com/data/pictures/7/19292217/3f6672bb9f90f90edac7427c549d6b05_o2_featured_v2.jpg
111,Glen`s Bakehouse,https://www.zomato.com/bangalore/glen-s-bakehouse-lavelle-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/56464/18163c7b780365d66811997d9d118ae5_o2_featured_v2.jpg
112,Call Me Chow,https://www.zomato.com/bangalore/call-me-chow-koramangala-8th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/19457932/268991a2134be964715fd47d4b493bbf_o2_featured_v2.jpg
113,Momoz,https://www.zomato.com/bangalore/momoz-rt-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/4/51794/563a94a8763bb18e32e21a000fcdc693_o2_featured_v2.jpg
114,The Cake Deluxe,https://www.zomato.com/bangalore/the-cake-deluxe-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/1/19872631/9c86c4c5b95709fb2a1f197bde7ff646_o2_featured_v2.jpg
115,7 Plates,https://www.zomato.com/bangalore/7-plates-rt-nagar/order,https://b.zmtcdn.com/data/pictures/chains/8/57978/6ce2bff32e7a11ff553840b0e18ad874_o2_featured_v2.jpg
116,NOTO - Ice Creams & Desserts,https://www.zomato.com/bangalore/noto-ice-creams-desserts-richmond-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/8/19748518/078c9434001fd0dfb3f9b8d4a98b340a_o2_featured_v2.jpg
117,Nashville Fried Chicken - NFC,https://www.zomato.com/bangalore/nashville-fried-chicken-nfc-koramangala-7th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/6/20890746/e048a322ba211ae790c481f2aa18b41d_o2_featured_v2.jpg
118,Melting Cheese,https://www.zomato.com/bangalore/melting-cheese-basavanagudi-bangalore/order,
119,Biryani By Kilo,https://www.zomato.com/bangalore/biryani-by-kilo-koramangala-6th-block-bangalore/order,
120,Potful - Claypot Biryanis,https://www.zomato.com/bangalore/potful-claypot-biryanis-thippasandra-bangalore/order,
121,Rana Donne Biriyani,https://www.zomato.com/bangalore/rana-donne-biriyani-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/0/20618810/ef598a758e4461b4164ae327078a4095_o2_featured_v2.jpg
122,Biryani Crafts,https://www.zomato.com/bangalore/biryani-crafts-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/5/19270265/4c96e96c2c5d72dec5341f2b7aaad055_o2_featured_v2.jpg
123,Siddique Kabab Centre,https://www.zomato.com/bangalore/siddique-kabab-centre-frazer-town/order,https://b.zmtcdn.com/data/pictures/chains/5/51865/dbb867da92ba9ef09813a7b6e1419efa_o2_featured_v2.jpg
124,Keventers - Milkshakes & Desserts,https://www.zomato.com/bangalore/keventers-milkshakes-desserts-brigade-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/18547761/8378ed3941e543d0a11e8d49c1e7d198_o2_featured_v2.jpg
125,Cakewala,https://www.zomato.com/bangalore/cakewala-koramangala-5th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/7/20746087/789d4fa0f3569f91287af3a51f1040b6_o2_featured_v2.jpg
126,Samosa Singh,https://www.zomato.com/bangalore/samosa-singh-basaveshwara-nagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/18258966/8e917cdbe24e9aaedb8dd74eab55d778_o2_featured_v2.jpg
127,Pure Veg Meals By LunchBox,https://www.zomato.com/bangalore/pure-veg-meals-by-lunchbox-shanti-nagar-bangalore/order,
128,C. K. Mega Hot Food,https://www.zomato.com/bangalore/c-k-mega-hot-food-btm/order,
129,Crusto's - Cheese Burst Pizza,https://www.zomato.com/bangalore/crustos-cheese-burst-pizza-vasanth-nagar-bangalore/order,
130,Marwadi Chaat Tiffin Services,https://www.zomato.com/bangalore/marwadi-chaat-tiffin-services-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/3/19603413/2fabf429fc0d523d1aa247adec60ee26_o2_featured_v2.jpg
131,Gandhinagar Donne Biriyani,https://www.zomato.com/bangalore/gandhinagar-donne-biriyani-1-majestic-bangalore/order,https://b.zmtcdn.com/data/pictures/5/19655615/0c88229491dbd2c26b9f582698e916a2_o2_featured_v2.jpg
